"","region","process","commodity","direction","process_description","commodity_description"
"333","reg1","dtpselc","tpselc","out","demand technology total primary supply - elc","demand total primary supply - elc"
"334","reg2","impnrgz","coa","out","dummy import of nrg","solid fuels"
"335","reg2","fte-rsdgas","gas","in","sector fuel technology existing residential natural gas","natural gas"
"336","reg1","tcarndsl","traco2","out","demand technologies transport sector -   cars - diesel oil","transport carbon dioxide"
"337","reg2","dtpscoa","tpscoa","out","demand technology total primary supply - coa","demand total primary supply - coa"
"338","reg2","impnrgz","elcgas","out","dummy import of nrg","electricity plants natural gas"
"339","reg1","rotngas","rsdco2","out","demand technologies residential sector -  new other - natural gas","residential carbon dioxide"
"340","reg2","refeoil00","ker","out","refinery existing00","kerosenes"
"341","reg1","impnrgz","traker","out","dummy import of nrg","transport kerosenes"
"342","reg1","expopp1","opp","in","export of other petroleum products step 1","other petroleum products"
"343","reg2","mingas2","gas","out","domestic supply of natural gas step 2","natural gas"
"344","reg1","minnuc1","nuc","out","domestic supply of nuclear energy step 1","nuclear energy"
"345","reg2","impnrgz","tralpg","out","dummy import of nrg","transport lpg"
"346","reg1","impoil1","oil","out","import of crude oil step 1","crude oil"
"347","impexp","impnrgz","dsl","in","dummy import of nrg","diesel oil"
"348","reg1","rotngas","rsdgas","in","demand technologies residential sector -  new other - natural gas","residential natural gas"
"349","reg1","elctegas00","elcco2","out","power plants existing00 - natural gas","electricity plants carbon dioxide"
"350","reg1","tcarngsl","traco2","out","demand technologies transport sector -   cars - motor spirit","transport carbon dioxide"
"351","reg1","fte-elcrnw","rnw","in","sector fuel technology existing electricity plants renewable energies","renewable energies"
"352","reg1","tb_elc_reg1_reg2_01","elc","in","ire(b) - elc from reg1 to reg2","electricity"
"353","reg1","tb_elc_reg1_reg2_01","elc","in","ire(b) - elc from reg1 to reg2","elc"
"354","reg2","elctncoa00","elc","out","power plants existing00 - solid fuels","electricity"
"355","reg2","elctncoa00","elc","out","power plants existing00 - solid fuels","elc"
"356","reg2","expcoa1","coa","in","export of solid fuels step 1","solid fuels"
"357","reg1","impnrgz","ker","out","dummy import of nrg","kerosenes"
"358","reg1","elctegas00","elcgas","in","power plants existing00 - natural gas","electricity plants natural gas"
"359","reg1","tcarngas","tragas","in","demand technologies transport sector -   cars - natural gas","transport natural gas"
"360","reg1","elcteoil00","elc","out","power plants existing00 - crude oil","electricity"
"361","reg1","elcteoil00","elc","out","power plants existing00 - crude oil","elc"
"362","reg1","refeoil00","lpg","out","refinery existing00","lpg"
"363","reg1","tcarndsl","dtcar","out","demand technologies transport sector -   cars - diesel oil","demand transport sector - cars"
"364","reg2","impnrgz","elc","out","dummy import of nrg","electricity"
"365","reg2","impnrgz","elc","out","dummy import of nrg","elc"
"366","impexp","impdemz","tpselc","in","dummy import of dem","demand total primary supply - elc"
"367","reg1","dtpselc","elc","in","demand technology total primary supply - elc","electricity"
"368","reg1","dtpselc","elc","in","demand technology total primary supply - elc","elc"
"369","reg1","impnrgz","oil","out","dummy import of nrg","crude oil"
"370","reg2","tcarngas","traco2","out","demand technologies transport sector -   cars - natural gas","transport carbon dioxide"
"371","reg2","impnrgz","tragsl","out","dummy import of nrg","transport motor spirit"
"372","reg1","elctecoa00","elccoa","in","power plants existing00 - solid fuels","electricity plants solid fuels"
"373","reg1","impnrgz","opp","out","dummy import of nrg","other petroleum products"
"374","reg2","minrnw1","rnw","out","domestic supply of renewable energies step 1","renewable energies"
"375","reg1","impcoa1","coa","out","import of solid fuels step 1","solid fuels"
